timestamp	ch1	ch2	ch3	ch4	ch5	ch6	ch7	ch8	ch9	ch10	ch11	ch12	ch13	ch14	ch15	ch16
1744400073.732000	-0.000024	-0.000017	0.000005	0.013687	0.016946	0.031273	0.029788	0.025256	0.019750	0.025465	0.034418	0.020720	0.017432	0.023011	0.019449	0.016110
1744400073.736000	-0.000025	-0.000018	0.000006	0.013696	0.016947	0.031287	0.029789	0.025260	0.019747	0.025463	0.034411	0.020716	0.017437	0.023024	0.019455	0.016123
1744400073.740000	-0.000028	-0.000020	0.000004	0.013700	0.016943	0.031297	0.029785	0.025260	0.019745	0.025457	0.034405	0.020712	0.017439	0.023032	0.019457	0.016141
1744400073.744000	-0.000024	-0.000017	0.000007	0.013695	0.016944	0.031287	0.029785	0.025254	0.019742	0.025450	0.034410	0.020709	0.017434	0.023025	0.019453	0.016138
1744400073.748000	-0.000024	-0.000018	0.000008	0.013684	0.016945	0.031269	0.029785	0.025248	0.019747	0.025448	0.034414	0.020704	0.017429	0.023014	0.019448	0.016113
1744400073.752000	-0.000024	-0.000014	0.000014	0.013687	0.016950	0.031269	0.029789	0.025250	0.019751	0.025454	0.034422	0.020711	0.017431	0.023011	0.019448	0.016104
1744400073.756000	-0.000024	-0.000014	0.000011	0.013695	0.016943	0.031282	0.029783	0.025256	0.019748	0.025456	0.034417	0.020715	0.017432	0.023016	0.019451	0.016125
1744400073.760000	-0.000029	-0.000016	0.000002	0.013697	0.016933	0.031293	0.029774	0.025259	0.019744	0.025457	0.034405	0.020717	0.017430	0.023022	0.019453	0.016145
1744400073.764000	-0.000024	-0.000012	0.000007	0.013701	0.016941	0.031296	0.029782	0.025270	0.019760	0.025474	0.034411	0.020729	0.017435	0.023027	0.019462	0.016153
1744400073.768000	-0.000026	-0.000010	0.000012	0.013698	0.016945	0.031283	0.029785	0.025268	0.019765	0.025481	0.034423	0.020732	0.017434	0.023016	0.019458	0.016132
1744400073.772000	-0.000021	-0.000008	0.000001	0.013695	0.016933	0.031274	0.029780	0.025263	0.019759	0.025480	0.034419	0.020730	0.017431	0.023007	0.019450	0.016112
1744400073.776000	-0.000025	-0.000009	-0.000001	0.013700	0.016932	0.031288	0.029776	0.025269	0.019756	0.025482	0.034410	0.020732	0.017432	0.023016	0.019454	0.016131
1744400073.780000	-0.000031	-0.000014	-0.000003	0.013705	0.016928	0.031301	0.029773	0.025275	0.019750	0.025483	0.034404	0.020735	0.017431	0.023025	0.019458	0.016152
1744400073.784000	-0.000028	-0.000012	0.000001	0.013705	0.016934	0.031302	0.029780	0.025280	0.019757	0.025496	0.034413	0.020744	0.017432	0.023026	0.019462	0.016156
1744400073.788000	-0.000022	-0.000005	0.000005	0.013703	0.016936	0.031289	0.029779	0.025276	0.019751	0.025497	0.034412	0.020746	0.017429	0.023013	0.019454	0.016132
1744400073.792000	-0.000019	-0.000003	0.000006	0.013701	0.016932	0.031280	0.029774	0.025268	0.019743	0.025491	0.034408	0.020743	0.017427	0.023005	0.019445	0.016120
